RUN	computerdatabase.TesteSicredi	testesicredi	1547956279784	0	3.0.2
USER	Teste Stress Avaliação Sicredi	1	START	1547956281496	1547956281496
USER	Teste Stress Avaliação Sicredi	2	START	1547956281530	1547956281530
USER	Teste Stress Avaliação Sicredi	3	START	1547956281531	1547956281531
USER	Teste Stress Avaliação Sicredi	4	START	1547956281533	1547956281533
USER	Teste Stress Avaliação Sicredi	5	START	1547956281539	1547956281539
USER	Teste Stress Avaliação Sicredi	6	START	1547956281540	1547956281540
USER	Teste Stress Avaliação Sicredi	7	START	1547956281542	1547956281542
USER	Teste Stress Avaliação Sicredi	8	START	1547956281543	1547956281543
USER	Teste Stress Avaliação Sicredi	9	START	1547956281546	1547956281546
USER	Teste Stress Avaliação Sicredi	10	START	1547956281554	1547956281554
USER	Teste Stress Avaliação Sicredi	11	START	1547956281556	1547956281556
USER	Teste Stress Avaliação Sicredi	12	START	1547956281559	1547956281559
USER	Teste Stress Avaliação Sicredi	13	START	1547956281560	1547956281560
USER	Teste Stress Avaliação Sicredi	14	START	1547956281562	1547956281562
USER	Teste Stress Avaliação Sicredi	15	START	1547956281563	1547956281563
USER	Teste Stress Avaliação Sicredi	16	START	1547956281564	1547956281564
USER	Teste Stress Avaliação Sicredi	17	START	1547956281623	1547956281623
USER	Teste Stress Avaliação Sicredi	18	START	1547956281625	1547956281625
REQUEST	1		Contar Votos	1547956281525	1547956281588	OK	 
REQUEST	2		Contar Votos	1547956281531	1547956281644	OK	 
REQUEST	3		Contar Votos	1547956281533	1547956281630	OK	 
REQUEST	8		Contar Votos	1547956281544	1547956281612	OK	 
USER	Teste Stress Avaliação Sicredi	19	START	1547956281629	1547956281629
USER	Teste Stress Avaliação Sicredi	20	START	1547956281668	1547956281668
USER	Teste Stress Avaliação Sicredi	21	START	1547956281669	1547956281669
REQUEST	7		Contar Votos	1547956281543	1547956281624	OK	 
REQUEST	12		Contar Votos	1547956281560	1547956281648	OK	 
USER	Teste Stress Avaliação Sicredi	22	START	1547956281670	1547956281670
USER	Teste Stress Avaliação Sicredi	23	START	1547956281672	1547956281672
REQUEST	6		Contar Votos	1547956281541	1547956281651	OK	 
USER	Teste Stress Avaliação Sicredi	24	START	1547956281673	1547956281673
USER	Teste Stress Avaliação Sicredi	25	START	1547956281674	1547956281674
USER	Teste Stress Avaliação Sicredi	26	START	1547956281675	1547956281675
USER	Teste Stress Avaliação Sicredi	27	START	1547956281678	1547956281678
USER	Teste Stress Avaliação Sicredi	28	START	1547956281679	1547956281679
USER	Teste Stress Avaliação Sicredi	29	START	1547956281681	1547956281681
USER	Teste Stress Avaliação Sicredi	30	START	1547956281683	1547956281683
USER	Teste Stress Avaliação Sicredi	31	START	1547956281687	1547956281687
USER	Teste Stress Avaliação Sicredi	32	START	1547956281688	1547956281688
USER	Teste Stress Avaliação Sicredi	33	START	1547956281690	1547956281690
USER	Teste Stress Avaliação Sicredi	34	START	1547956281691	1547956281691
USER	Teste Stress Avaliação Sicredi	35	START	1547956281692	1547956281692
USER	Teste Stress Avaliação Sicredi	36	START	1547956281693	1547956281693
USER	Teste Stress Avaliação Sicredi	37	START	1547956281695	1547956281695
USER	Teste Stress Avaliação Sicredi	38	START	1547956281698	1547956281698
USER	Teste Stress Avaliação Sicredi	39	START	1547956281703	1547956281703
USER	Teste Stress Avaliação Sicredi	40	START	1547956281704	1547956281704
USER	Teste Stress Avaliação Sicredi	41	START	1547956281707	1547956281707
USER	Teste Stress Avaliação Sicredi	42	START	1547956281708	1547956281708
USER	Teste Stress Avaliação Sicredi	43	START	1547956281709	1547956281709
USER	Teste Stress Avaliação Sicredi	44	START	1547956281710	1547956281710
USER	Teste Stress Avaliação Sicredi	45	START	1547956281710	1547956281710
REQUEST	16		Contar Votos	1547956281565	1547956281667	OK	 
REQUEST	5		Contar Votos	1547956281540	1547956281669	OK	 
USER	Teste Stress Avaliação Sicredi	46	START	1547956281711	1547956281711
USER	Teste Stress Avaliação Sicredi	47	START	1547956281744	1547956281744
USER	Teste Stress Avaliação Sicredi	48	START	1547956281745	1547956281745
USER	Teste Stress Avaliação Sicredi	49	START	1547956281750	1547956281750
USER	Teste Stress Avaliação Sicredi	50	START	1547956281753	1547956281753
REQUEST	10		Contar Votos	1547956281556	1547956281715	OK	 
REQUEST	13		Contar Votos	1547956281561	1547956281731	OK	 
USER	Teste Stress Avaliação Sicredi	51	START	1547956281754	1547956281754
USER	Teste Stress Avaliação Sicredi	52	START	1547956281759	1547956281759
USER	Teste Stress Avaliação Sicredi	53	START	1547956281760	1547956281760
USER	Teste Stress Avaliação Sicredi	54	START	1547956281764	1547956281764
REQUEST	20		Contar Votos	1547956281668	1547956281694	OK	 
USER	Teste Stress Avaliação Sicredi	55	START	1547956281768	1547956281768
USER	Teste Stress Avaliação Sicredi	56	START	1547956281771	1547956281771
USER	Teste Stress Avaliação Sicredi	57	START	1547956281775	1547956281775
USER	Teste Stress Avaliação Sicredi	58	START	1547956281776	1547956281776
REQUEST	9		Contar Votos	1547956281554	1547956281741	OK	 
REQUEST	15		Contar Votos	1547956281564	1547956281674	OK	 
REQUEST	11		Contar Votos	1547956281558	1547956281754	OK	 
USER	Teste Stress Avaliação Sicredi	59	START	1547956281777	1547956281777
USER	Teste Stress Avaliação Sicredi	60	START	1547956281780	1547956281780
USER	Teste Stress Avaliação Sicredi	61	START	1547956281781	1547956281781
USER	Teste Stress Avaliação Sicredi	62	START	1547956281784	1547956281784
USER	Teste Stress Avaliação Sicredi	63	START	1547956281785	1547956281785
REQUEST	18		Contar Votos	1547956281626	1547956281755	OK	 
USER	Teste Stress Avaliação Sicredi	64	START	1547956281787	1547956281787
USER	Teste Stress Avaliação Sicredi	65	START	1547956281788	1547956281788
USER	Teste Stress Avaliação Sicredi	66	START	1547956281790	1547956281790
USER	Teste Stress Avaliação Sicredi	67	START	1547956281791	1547956281791
USER	Teste Stress Avaliação Sicredi	68	START	1547956281792	1547956281792
USER	Teste Stress Avaliação Sicredi	69	START	1547956281793	1547956281793
USER	Teste Stress Avaliação Sicredi	70	START	1547956281793	1547956281793
USER	Teste Stress Avaliação Sicredi	71	START	1547956281795	1547956281795
USER	Teste Stress Avaliação Sicredi	72	START	1547956281798	1547956281798
USER	Teste Stress Avaliação Sicredi	73	START	1547956281799	1547956281799
USER	Teste Stress Avaliação Sicredi	74	START	1547956281800	1547956281800
USER	Teste Stress Avaliação Sicredi	75	START	1547956281801	1547956281801
USER	Teste Stress Avaliação Sicredi	76	START	1547956281802	1547956281802
USER	Teste Stress Avaliação Sicredi	77	START	1547956281803	1547956281803
USER	Teste Stress Avaliação Sicredi	78	START	1547956281807	1547956281807
USER	Teste Stress Avaliação Sicredi	79	START	1547956281808	1547956281808
USER	Teste Stress Avaliação Sicredi	80	START	1547956281809	1547956281809
USER	Teste Stress Avaliação Sicredi	81	START	1547956281828	1547956281828
USER	Teste Stress Avaliação Sicredi	82	START	1547956281833	1547956281833
USER	Teste Stress Avaliação Sicredi	83	START	1547956281837	1547956281837
USER	Teste Stress Avaliação Sicredi	84	START	1547956281843	1547956281843
USER	Teste Stress Avaliação Sicredi	85	START	1547956281850	1547956281850
USER	Teste Stress Avaliação Sicredi	86	START	1547956281856	1547956281856
USER	Teste Stress Avaliação Sicredi	87	START	1547956281861	1547956281861
USER	Teste Stress Avaliação Sicredi	88	START	1547956281865	1547956281865
USER	Teste Stress Avaliação Sicredi	89	START	1547956281869	1547956281869
USER	Teste Stress Avaliação Sicredi	90	START	1547956281872	1547956281872
USER	Teste Stress Avaliação Sicredi	91	START	1547956281880	1547956281880
USER	Teste Stress Avaliação Sicredi	92	START	1547956281884	1547956281884
USER	Teste Stress Avaliação Sicredi	93	START	1547956281887	1547956281887
USER	Teste Stress Avaliação Sicredi	94	START	1547956281891	1547956281891
USER	Teste Stress Avaliação Sicredi	95	START	1547956281892	1547956281892
USER	Teste Stress Avaliação Sicredi	96	START	1547956281893	1547956281893
USER	Teste Stress Avaliação Sicredi	97	START	1547956281898	1547956281898
USER	Teste Stress Avaliação Sicredi	98	START	1547956281902	1547956281902
USER	Teste Stress Avaliação Sicredi	99	START	1547956281903	1547956281903
USER	Teste Stress Avaliação Sicredi	100	START	1547956281907	1547956281907
USER	Teste Stress Avaliação Sicredi	101	START	1547956281909	1547956281909
USER	Teste Stress Avaliação Sicredi	102	START	1547956281912	1547956281912
USER	Teste Stress Avaliação Sicredi	103	START	1547956281914	1547956281914
USER	Teste Stress Avaliação Sicredi	104	START	1547956281920	1547956281920
USER	Teste Stress Avaliação Sicredi	105	START	1547956281924	1547956281924
USER	Teste Stress Avaliação Sicredi	106	START	1547956281926	1547956281926
USER	Teste Stress Avaliação Sicredi	107	START	1547956281927	1547956281927
USER	Teste Stress Avaliação Sicredi	108	START	1547956281930	1547956281930
USER	Teste Stress Avaliação Sicredi	109	START	1547956281954	1547956281954
USER	Teste Stress Avaliação Sicredi	110	START	1547956281958	1547956281958
USER	Teste Stress Avaliação Sicredi	111	START	1547956281959	1547956281959
USER	Teste Stress Avaliação Sicredi	112	START	1547956281961	1547956281961
USER	Teste Stress Avaliação Sicredi	113	START	1547956281965	1547956281965
USER	Teste Stress Avaliação Sicredi	114	START	1547956281971	1547956281971
USER	Teste Stress Avaliação Sicredi	115	START	1547956281975	1547956281975
USER	Teste Stress Avaliação Sicredi	116	START	1547956281977	1547956281977
USER	Teste Stress Avaliação Sicredi	117	START	1547956281982	1547956281982
USER	Teste Stress Avaliação Sicredi	118	START	1547956281987	1547956281987
USER	Teste Stress Avaliação Sicredi	119	START	1547956281991	1547956281991
USER	Teste Stress Avaliação Sicredi	120	START	1547956281994	1547956281994
USER	Teste Stress Avaliação Sicredi	121	START	1547956281995	1547956281995
USER	Teste Stress Avaliação Sicredi	122	START	1547956281998	1547956281998
USER	Teste Stress Avaliação Sicredi	123	START	1547956282002	1547956282002
USER	Teste Stress Avaliação Sicredi	124	START	1547956282003	1547956282003
USER	Teste Stress Avaliação Sicredi	125	START	1547956282005	1547956282005
USER	Teste Stress Avaliação Sicredi	126	START	1547956282010	1547956282010
USER	Teste Stress Avaliação Sicredi	127	START	1547956282138	1547956282138
USER	Teste Stress Avaliação Sicredi	128	START	1547956282148	1547956282148
USER	Teste Stress Avaliação Sicredi	129	START	1547956282166	1547956282166
USER	Teste Stress Avaliação Sicredi	130	START	1547956282172	1547956282172
USER	Teste Stress Avaliação Sicredi	131	START	1547956282176	1547956282176
USER	Teste Stress Avaliação Sicredi	132	START	1547956282180	1547956282180
USER	Teste Stress Avaliação Sicredi	133	START	1547956282185	1547956282185
USER	Teste Stress Avaliação Sicredi	134	START	1547956282188	1547956282188
USER	Teste Stress Avaliação Sicredi	135	START	1547956282192	1547956282192
USER	Teste Stress Avaliação Sicredi	136	START	1547956282196	1547956282196
USER	Teste Stress Avaliação Sicredi	137	START	1547956282198	1547956282198
USER	Teste Stress Avaliação Sicredi	138	START	1547956282201	1547956282201
USER	Teste Stress Avaliação Sicredi	139	START	1547956282205	1547956282205
USER	Teste Stress Avaliação Sicredi	140	START	1547956282211	1547956282211
USER	Teste Stress Avaliação Sicredi	141	START	1547956282212	1547956282212
USER	Teste Stress Avaliação Sicredi	142	START	1547956282214	1547956282214
USER	Teste Stress Avaliação Sicredi	143	START	1547956282216	1547956282216
USER	Teste Stress Avaliação Sicredi	144	START	1547956282218	1547956282218
USER	Teste Stress Avaliação Sicredi	145	START	1547956282220	1547956282220
USER	Teste Stress Avaliação Sicredi	146	START	1547956282224	1547956282224
